ticket,order,time,time_msc,type,entry,magic,position_id,reason,volume,price,commission,swap,profit,fee,symbol,comment,external_id
68627928,0,1752779272,1752779272388,2,0,0,0,0,0.0,0.0,0.0,0.0,210.0,0.0,,Transfer from Wallet,
68628666,0,1752779623,1752779623106,2,0,0,0,0,0.0,0.0,0.0,0.0,68.0,0.0,,Transfer from Wallet,
68628983,0,1752779813,1752779813515,2,0,0,0,0,0.0,0.0,0.0,0.0,23.11,0.0,,Transfer from Wallet,
68667162,0,1752803171,1752803171800,2,0,0,0,0,0.0,0.0,0.0,0.0,-270.0,0.0,,Transfer to Wallet,
68879900,0,1752874709,1752874709112,2,0,0,0,0,0.0,0.0,0.0,0.0,215.09,0.0,,Transfer from Wallet,
68880042,0,1752874890,1752874890501,2,0,0,0,0,0.0,0.0,0.0,0.0,-210.0,0.0,,Transfer to Wallet,
68882487,0,1752876965,1752876965500,2,0,0,0,0,0.0,0.0,0.0,0.0,210.0,0.0,,Transfer from Wallet,
68883941,0,1752877982,1752877982067,3,0,0,0,0,0.0,0.0,0.0,0.0,215.0,0.0,,100DBO Bonus,
68892852,0,1752886186,1752886186435,2,0,0,0,0,0.0,0.0,0.0,0.0,-236.0,0.0,,Transfer to Wallet,
69003967,73403366,1753082380,1753082380337,0,0,1000,73403366,3,0.03,3352.75,0.0,0.0,0.0,0.0,XAUUSD,Robo XAUUSD,rbfmnoa11qFpitPX
69006087,73405553,1753083320,1753083320328,1,1,0,73403366,0,0.03,3355.5,0.0,0.0,8.25,0.0,XAUUSD,,rRAqno5Z2qFpa11qFiI0X
69006425,0,1753083636,1753083636693,2,0,0,0,0,0.0,0.0,0.0,0.0,-8.45,0.0,,Transfer to Wallet,
69188606,73609517,1753138008,1753138008666,1,0,1000,73609517,3,0.03,3397.69,0.0,0.0,0.0,0.0,XAUUSD,Robo XAUUSD,rHY7soRFzsFpiOXOB
69199852,0,1753150243,1753150243772,3,0,0,0,0,0.0,0.0,0.0,0.0,-215.0,0.0,,Credit Out,
69199856,73621802,1753150243,1753150243992,0,1,1000,73609517,6,0.03,3401.6,0.0,1.11,-11.73,0.0,XAUUSD,[so -3.04%/-0.62/20.39],rBdDtoCe2sFpRFzsFihGRB
69200573,0,1753150687,1753150687245,2,0,0,0,0,0.0,0.0,0.0,0.0,21.0,0.0,,Transfer from Wallet,
69205238,73627289,1753151822,1753151822570,1,0,1000,73627289,3,0.03,3395.9,0.0,0.0,0.0,0.0,XAUUSD,Robo XAUUSD,rFqGtodB4sFpidWSB
69208075,73630407,1753152316,1753152316443,0,1,1000,73627289,4,0.03,3395.84,0.0,0.0,0.18,0.0,XAUUSD,[sl 3395.84],r_uItob54sFpdB4sFi1ETB
69218503,73641845,1753155079,1753155079427,0,0,1000,73641845,3,0.03,3396.24,0.0,0.0,0.0,0.0,XAUUSD,Robo XAUUSD,r7IQtoFE8sFpihxVB
69226784,73650601,1753157369,1753157369233,1,1,1000,73641845,4,0.03,3391.98,0.0,0.0,-12.78,0.0,XAUUSD,[sl 3392.18],r_ZVtoBe-sFpFE8sFi-8XB
69229154,0,1753157763,1753157763349,2,0,0,0,0,0.0,0.0,0.0,0.0,5.0,0.0,,Transfer from Wallet,
69298733,0,1753189572,1753189572769,2,0,0,0,0,0.0,0.0,0.0,0.0,10.0,0.0,,Transfer from Wallet,
69300112,73731865,1753190669,1753190669695,0,0,1000,73731865,3,0.03,3388.01,0.0,0.0,0.0,0.0,XAUUSD,Robo XAUUSD,rNWQuoZEVtFpiYxvB
69311594,73744579,1753195896,1753195896340,1,1,1000,73731865,5,0.03,3390.99,0.0,0.0,8.94,0.0,XAUUSD,[tp 3390.99],r7EXuoTlYtFpZEVtFisvyB
69442234,73880297,1753220908,1753220908408,1,0,1000,73880297,3,0.03,3428.92,0.0,0.0,0.0,0.0,XAUUSD,Robo XAUUSD,rRWFwoRSCuFpi6DVC
69449508,73887817,1753227596,1753227596121,0,1,0,73880297,0,0.03,3428.69,0.0,0.0,0.69,0.0,XAUUSD,,rjqKwomXEuFpRSCuFiE-WC
69525978,73969784,1753253591,1753253591822,1,0,1000,73969784,3,0.03,3425.0,0.0,0.0,0.0,0.0,XAUUSD,Robo XAUUSD,rFIJxowJbuFpimjuC
