ticket,time_setup,time_setup_msc,time_done,time_done_msc,time_expiration,type,type_time,type_filling,state,magic,position_id,position_by_id,reason,volume_initial,volume_current,price_open,sl,tp,price_current,price_stoplimit,symbol,comment,external_id
73403366,1753082380,1753082380229,1753082380,1753082380337,0,0,0,1,4,1000,73403366,0,3,0.03,0.0,0.0,3346.05,3356.05,3352.72,0.0,XAUUSD,Robo XAUUSD,rbfmnoa11qFpitPX
73405553,1753083320,1753083320203,1753083320,1753083320328,0,1,0,1,4,0,73403366,0,0,0.03,0.0,0.0,0.0,0.0,3355.5,0.0,XAUUSD,,rRAqno5Z2qFpa11qFiI0X
73609517,1753138008,1753138008527,1753138008,1753138008666,0,1,0,1,4,1000,73609517,0,3,0.03,0.0,0.0,3404.42,3394.75,3397.75,0.0,XAUUSD,Robo XAUUSD,rHY7soRFzsFpiOXOB
73621802,1753150243,1753150243843,1753150243,1753150243992,0,0,0,1,4,1000,73609517,0,6,0.03,0.0,3401.6,0.0,0.0,3401.6,0.0,XAUUSD,[so -3.04%/-0.62/20.39],rBdDtoCe2sFpRFzsFihGRB
73627289,1753151822,1753151822450,1753151822,1753151822570,0,1,0,1,4,1000,73627289,0,3,0.03,0.0,0.0,3399.84,3392.84,3395.91,0.0,XAUUSD,Robo XAUUSD,rFqGtodB4sFpidWSB
73630407,1753152316,1753152316294,1753152316,1753152316443,0,0,0,1,4,1000,73627289,0,4,0.03,0.0,3395.84,0.0,0.0,3395.84,0.0,XAUUSD,[sl 3395.84],r_uItob54sFpdB4sFi1ETB
73641845,1753155079,1753155079291,1753155079,1753155079427,0,0,0,1,4,1000,73641845,0,3,0.03,0.0,0.0,3392.18,3399.18,3396.18,0.0,XAUUSD,Robo XAUUSD,r7IQtoFE8sFpihxVB
73650601,1753157369,1753157369085,1753157369,1753157369233,0,1,0,1,4,1000,73641845,0,4,0.03,0.0,3392.18,0.0,0.0,3392.18,0.0,XAUUSD,[sl 3392.18],r_ZVtoBe-sFpFE8sFi-8XB
73731865,1753190669,1753190669544,1753190669,1753190669695,0,0,0,1,4,1000,73731865,0,3,0.03,0.0,0.0,3383.99,3390.99,3387.99,0.0,XAUUSD,Robo XAUUSD,rNWQuoZEVtFpiYxvB
73744579,1753195896,1753195896235,1753195896,1753195896340,0,1,0,1,4,1000,73731865,0,5,0.03,0.0,3390.99,0.0,0.0,3390.99,0.0,XAUUSD,[tp 3390.99],r7EXuoTlYtFpZEVtFisvyB
73880297,1753220908,1753220908258,1753220908,1753220908408,0,1,0,1,4,1000,73880297,0,3,0.03,0.0,0.0,3432.97,3425.97,3428.97,0.0,XAUUSD,Robo XAUUSD,rRWFwoRSCuFpi6DVC
73887817,1753227596,1753227596013,1753227596,1753227596121,0,0,0,1,4,0,73880297,0,0,0.03,0.0,0.0,0.0,0.0,3428.69,0.0,XAUUSD,,rjqKwomXEuFpRSCuFiE-WC
73969784,1753253591,1753253591713,1753253591,1753253591822,0,1,0,1,4,1000,73969784,0,3,0.03,0.0,0.0,3428.91,3421.91,3425.02,0.0,XAUUSD,Robo XAUUSD,rFIJxowJbuFpimjuC
73971610,1753254287,1753254287540,1753254287,1753254287694,0,0,0,1,4,1000,73969784,0,4,0.03,0.0,3424.91,0.0,0.0,3424.91,0.0,XAUUSD,[sl 3424.91],rneKxoKsbuFpwJbuFilCvC
74011917,1753269462,1753269462864,1753269462,1753269462981,0,0,0,1,4,1000,74011917,0,3,0.03,0.0,0.0,3421.48,3428.48,3425.48,0.0,XAUUSD,Robo XAUUSD,rhTkxo93nuFpiQ84C
